task_id,phase,category,task_content,status,detection_standard,expected_result,actual_result,owner,blocking_reason,notes
P0-01,P0,规范冻结,编写 HTTP 回源客户端 IP 头透传 spec,已完成,"检查 spec 是否定义 CF-Connecting-IP X-Real-IP X-Forwarded-For 的优先级 边界 非目标","spec 明确透传策略与施工边界","spec 已落盘，限定为 HTTP 头透传，不涉及 remote_addr/TPROXY/PROXY protocol","Codex","","作为本轮唯一设计依据"
P0-02,P0,规范冻结,明确 remote_addr 不会被重写为真实客户端 IP,已完成,"检查 spec 是否显式声明 headers not socket identity","不会出现对后端 remote_addr 幻觉语义的错误承诺","spec 已明确 backend remote_addr 仍是本地代理跳点","Codex","","防止需求漂移到透明代理"
P0-03,P0,任务治理,初始化客户端 IP 透传任务台账,已完成,"检查 csv 是否包含任务内容 进度 检测标准 预期结果 实际结果 阻塞原因","台账字段完整 可持续回填执行结果","台账已创建并分阶段初始化","Codex","","后续施工据此更新"
P1-01,P1,转发策略,在 HTTP 回源层提取可信的 CF-Connecting-IP,已验证,"检查 origin proxy 是否优先读取并透传 CF-Connecting-IP","后端请求可获得与 Cloudflare 语义一致的真实客户端 IP 头","proxy 已优先读取 CF-Connecting-IP，并在回源请求中透传到 CF-Connecting-IP/X-Real-IP/X-Forwarded-For","Codex","","最高优先级信号"
P1-02,P1,转发策略,补齐 X-Real-IP 输出规范,已验证,"检查 backend request headers 是否设置 X-Real-IP","后端可通过常见框架直接读取真实客户端 IP","当有效客户端 IP 存在时，回源请求会设置 X-Real-IP，origin proxy 新增定向测试已通过","Codex","","与 CF-Connecting-IP 保持同值"
P1-03,P1,转发策略,规范 X-Forwarded-For 生成逻辑,已验证,"检查 X-Forwarded-For 是否以有效客户端 IP 开头且不混入合成 edge hop","后端获得稳定的一致链式客户端 IP 头","proxy 已切到 ReverseProxy Rewrite 模式，避免标准库自动追加本地 127.0.0.1，并保持 X-Forwarded-For 以有效客户端 IP 开头","Codex","","本轮不注入 Cloudflare 最后一跳 edge IP"
P1-04,P1,兼容约束,保持 Host 与 X-Forwarded-Host 现有行为不回归,已验证,"检查现有 host rewrite 相关测试是否继续通过","客户端 IP 透传与 host rewrite 可以共存","TestProxyOverridesHostAndSetsForwardedHost 与 internal/cftunnel/origin 全量测试继续通过","Codex","","避免修一个坏一个"
P2-01,P2,测试治理,新增 trusted CF-Connecting-IP 透传测试,已验证,"运行 origin proxy 定向测试并检查请求头断言","透传策略有可重复回归测试","已新增 TestProxyPreservesCFConnectingIPAndMirrorsCommonClientIPHeaders，并通过定向测试验证","Codex","","覆盖最常见 Cloudflare 场景"
P2-02,P2,测试治理,新增 X-Forwarded-For 归一化测试,已验证,"运行 origin proxy 定向测试并检查链式头行为","X-Forwarded-For 行为稳定且可解释","已新增 CF-Connecting-IP 缺失时使用既有 X-Forwarded-For 以及链式归一化测试，并通过验证","Codex","","覆盖已有链和无链两类场景"
P2-03,P2,测试治理,新增不使用 local remote_addr 伪造真实客户端 IP 的测试,已验证,"运行测试确认无可信客户端 IP 时不会伪造 CF-Connecting-IP/X-Real-IP","策略不会把代理本地地址误当真实用户地址","已新增无可信头时不伪造客户端 IP 的测试，并通过验证当前回源头为空","Codex","","避免错误安全语义"
P2-04,P2,回归验证,执行 internal/cftunnel/origin 定向测试,已验证,"执行 PATH=/usr/local/go/bin:$PATH go test ./internal/cftunnel/origin -count=1","origin proxy 相关测试全部通过","PATH=/usr/local/go/bin:$PATH go test ./internal/cftunnel/origin -count=1 => ok","Codex","","先做局部收敛"
P2-05,P2,回归验证,执行 internal/cftunnel/... 与全量 go test,已验证,"执行 PATH=/usr/local/go/bin:$PATH go test ./internal/cftunnel/... -count=1 与 PATH=/usr/local/go/bin:$PATH go test ./... -count=1","无跨模块回归或明确记录阻塞","internal/cftunnel/... 与 go test ./... 均通过，无阻塞项","Codex","","作为功能收口前最终验证"
P3-01,P3,文档治理,更新 README 说明真实客户端 IP 通过头透传而非 remote_addr,已验证,"检查 README 是否明确 backend 应如何读取真实客户端 IP 以及 remote_addr 限制","文档可指导后端应用正确接入 trusted proxy header","README 已新增中英文客户端 IP 头透传说明、优先级和 remote_addr 限制","Codex","","需给出字段优先级和边界"
P3-02,P3,治理收口,回填台账实际结果与终态,已验证,"检查 csv actual_result status blocking_reason 是否完整","所有任务进入 已验证 或 阻塞 等终态","本台账已回填所有 in-scope 任务结果，当前均为已验证终态","Codex","","不得留空白状态"
