task_id,phase,category,task_content,status,detection_standard,expected_result,actual_result,owner,blocking_reason,notes
P0-01,P0,规范冻结,编写统一命名治理 spec 并冻结命名规则,已完成,"检查 spec 是否定义 CLI kebab-case YAML snake_case route 保留完整语义前缀","spec 明确统一命名规则与适用范围","spec 已写入并明确 N1-N4 规则","Codex","","作为本轮施工唯一规范依据"
P0-02,P0,规范冻结,列出废弃旧参数名称并声明不做兼容,已完成,"检查 spec 是否列出移除的 legacy names 且写明 fail-fast 策略","spec 明确旧参数直接报错且不提供 alias","已在 spec Rule N4 中列出移除项并声明无兼容层","Codex","","避免施工时回摆成双轨制"
P0-03,P0,任务治理,初始化统一命名任务统计台账,已完成,"检查 csv 是否包含任务内容 进度 检测标准 预期结果 实际结果 阻塞原因","台账字段完整 可持续回填进度与验收结果","台账已创建并按阶段初始化任务","Codex","","后续施工按此表更新"
P1-01,P1,解析器治理,重命名顶层 YAML 字段 insecure_skip_verify 为 origin_insecure_skip_verify,已验证,"检查 [internal/config/config.go](/root/cf-tunnel/internal/config/config.go) 的 CFTunnelConfig YAML tag 与解析测试","顶层 YAML 仅接受 origin_insecure_skip_verify","CFTunnelConfig YAML tag 已改为 origin_insecure_skip_verify，TestParseYAMLConfigAcceptsNormalizedOriginTLSFieldNames 通过，legacy 字段 rejection test 通过","Codex","","属于破坏性 contract 变更"
P1-02,P1,解析器治理,重命名 route YAML 字段 insecure_skip_verify 为 origin_insecure_skip_verify,已验证,"检查 [internal/config/config.go](/root/cf-tunnel/internal/config/config.go) 的 RouteRule YAML 校验白名单与 Decode struct","route YAML 仅接受 origin_insecure_skip_verify","RouteRule 白名单与 Decode struct 已切到 origin_insecure_skip_verify，formal route YAML 测试通过，legacy route YAML 字段被拒绝","Codex","","需同步 rejection test"
P1-03,P1,解析器治理,重命名 --cf-route 内联选项 server_name 为 origin_server_name,已验证,"检查 route parser 支持键集合 序列化输出 usage 文案","CLI route 仅接受 origin_server_name 不再接受 server_name","route parser、routeFlag.String() 与 usage 已切到 origin_server_name，并通过 legacy server_name rejection test","Codex","","影响 String Set usage 三处"
P1-04,P1,解析器治理,重命名 --cf-route 内联选项 insecure_skip_verify 为 origin_insecure_skip_verify,已验证,"检查 route parser 支持键集合 序列化输出 usage 文案","CLI route 仅接受 origin_insecure_skip_verify 不再接受 insecure_skip_verify","route parser、routeFlag.String() 与 usage 已切到 origin_insecure_skip_verify，并通过 legacy insecure_skip_verify rejection test","Codex","","需同步 README 示例"
P1-05,P1,帮助输出,更新 --help 和 usage 中所有命名示例,已验证,"运行 go run ./cmd/app --help 或检查 writeUsage 输出","帮助输出只出现统一后的参数名称","PATH=/usr/local/go/bin:$PATH go run ./cmd/app --help 已通过，帮助输出仅显示 origin_server_name 与 origin_insecure_skip_verify","Codex","","不得残留旧 route key"
P2-01,P2,文档治理,更新 README 中文示例与说明为统一命名,已验证,"检查 [README.md](/root/cf-tunnel/README.md) 中文段落是否仅出现新命名","中文 README 示例与说明只使用统一命名","中文段落的 route 示例、参数说明与命名规则均已改为 origin_server_name / origin_insecure_skip_verify","Codex","","需覆盖 route 与 YAML 两种写法"
P2-02,P2,文档治理,更新 README 英文示例与说明为统一命名,已验证,"检查 [README.md](/root/cf-tunnel/README.md) 英文段落是否仅出现新命名","英文 README 示例与说明只使用统一命名","英文段落的 route 示例、参数说明与 naming rules 均已改为 origin_server_name / origin_insecure_skip_verify","Codex","","避免双语文档漂移"
P2-03,P2,文档治理,补充命名规范说明与 CLI/YAML/route 对照原则,已验证,"检查 README 是否有显式命名规则说明而非仅靠示例","用户无需读代码即可理解三类命名规则","README 已新增中英文 naming rules 段落，明确 CLI kebab-case、YAML snake_case、route 保留完整语义前缀","Codex","","文档需解释破坏性升级"
P3-01,P3,测试治理,更新 config 解析测试为统一命名,已验证,"检查 [internal/config/config_test.go](/root/cf-tunnel/internal/config/config_test.go) 中 acceptance cases 是否改为新命名","测试仅以新命名断言成功路径","config_test.go 已将成功路径切到 origin_server_name / origin_insecure_skip_verify，PATH=/usr/local/go/bin:$PATH go test ./internal/config/... 通过","Codex","","应覆盖 CLI route 与 YAML top-level/route"
P3-02,P3,测试治理,新增旧命名 rejection tests,已验证,"运行针对 legacy names 的解析测试并检查错误信息","旧命名输入稳定失败并给出可定位错误","新增 legacy route option 与 YAML 字段 rejection tests，局部测试已验证旧键名稳定失败","Codex","","至少覆盖 server_name insecure_skip_verify 两类 legacy key"
P3-03,P3,回归验证,执行 targeted go test 验证 internal/config,已验证,"执行 PATH=/usr/local/go/bin:$PATH go test ./internal/config/...","config 相关测试全部通过","PATH=/usr/local/go/bin:$PATH go test ./internal/config/... => ok","Codex","","先做局部收敛再做全量验证"
P3-04,P3,回归验证,执行全量 go test 验证命名收敛未破坏其它模块,已验证,"执行 PATH=/usr/local/go/bin:$PATH go test ./...","全量测试通过或明确记录阻塞","PATH=/usr/local/go/bin:$PATH go test ./... => 全量通过","Codex","","作为收口前最终验收"
P3-05,P3,治理收口,回填任务实际结果与终态状态,已验证,"检查 csv actual_result status blocking_reason 是否完整更新","所有任务进入 已验证 或 阻塞 等终态","本台账已回填所有 in-scope 任务的 actual_result，当前均为已验证终态","Codex","","不得留空白状态"
